observedRate,empirical p-value,theoretical p-value
0.11,0.328381,0.369441340181764
0.04,0.993223,0.977249868051821
0.11,0.327448,0.369441340181764
0.11,0.328291,0.369441340181764
0.08,0.722369,0.747507462453077
0.11,0.328426,0.369441340181764
0.1,0.45176,0.5
0.08,0.722761,0.747507462453077
0.16,0.031732,0.0227501319481792
0.12,0.225687,0.252492537546923
0.09,0.587929,0.630558659818236
0.04,0.9932,0.977249868051821
0.14,0.091974,0.0912112197258679
0.09,0.586886,0.630558659818236
0.13,0.147747,0.158655253931457
0.14,0.092214,0.0912112197258679
0.08,0.721913,0.747507462453077
0.04,0.993007,0.977249868051821
0.06,0.922773,0.908788780274132
0.05,0.971876,0.952209647727185
0.08,0.721356,0.747507462453077
0.11,0.328327,0.369441340181764
0.13,0.147554,0.158655253931457
0.1,0.451316,0.5
0.1,0.451673,0.5
0.08,0.721922,0.747507462453077
0.1,0.45079,0.5
0.16,0.031649,0.0227501319481792
0.08,0.722757,0.747507462453077
0.12,0.225863,0.252492537546923
0.09,0.586888,0.630558659818236
0.09,0.587767,0.630558659818236
0.14,0.09215,0.0912112197258679
0.09,0.586938,0.630558659818236
0.11,0.32776,0.369441340181764
0.12,0.22613,0.252492537546923
0.14,0.092614,0.0912112197258679
0.12,0.225735,0.252492537546923
0.08,0.722113,0.747507462453077
0.08,0.721405,0.747507462453077
0.14,0.092506,0.0912112197258679
0.08,0.721781,0.747507462453077
0.12,0.225978,0.252492537546923
0.09,0.587267,0.630558659818236
0.14,0.092324,0.0912112197258679
0.11,0.327262,0.369441340181764
0.07,0.838013,0.841344746068543
0.17,0.017388,0.00981532862864531
0.07,0.837126,0.841344746068543
0.1,0.452139,0.5
0.11,0.327655,0.369441340181764
0.14,0.091898,0.0912112197258679
0.15,0.054683,0.0477903522728148
0.07,0.837016,0.841344746068543
